graph_id,model,n_nodes,m0,m,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
1,barabasi_albert,100,5,2,10,3.2798,4.0,2.6229754097208002,"{13: 1, 10: 4, 15: 1, 8: 6, 7: 1, 9: 2, 5: 13, 4: 12, 3: 22, 2: 37, 6: 1}",-0.8581326473057517
2,barabasi_albert,100,5,2,10,3.1892,4.0,2.839013913315678,"{12: 2, 9: 2, 10: 1, 11: 1, 4: 17, 18: 1, 6: 4, 13: 1, 5: 7, 7: 4, 2: 39, 3: 19, 8: 2}",-0.8581326473057517
3,barabasi_albert,100,5,2,10,3.2728,4.0,2.7202941017470885,"{12: 4, 17: 1, 10: 1, 8: 3, 3: 27, 7: 4, 6: 6, 5: 8, 4: 12, 2: 34}",-0.8581326473057517
4,barabasi_albert,100,5,2,10,3.2896,4.0,2.630589287593181,"{17: 1, 7: 5, 6: 6, 14: 1, 10: 2, 12: 1, 5: 7, 8: 3, 4: 22, 3: 15, 2: 37}",-0.8581326473057517
5,barabasi_albert,100,5,2,10,3.3318,4.0,2.5337718918639855,"{13: 1, 12: 1, 10: 2, 16: 1, 6: 11, 5: 9, 4: 11, 7: 4, 8: 2, 2: 34, 3: 24}",-0.8581326473057517
6,barabasi_albert,100,5,2,10,3.2976,4.0,2.5298221281347035,"{14: 1, 8: 3, 12: 1, 10: 3, 5: 11, 6: 5, 4: 15, 11: 2, 7: 3, 3: 20, 2: 36}",-0.8581326473057517
7,barabasi_albert,100,5,2,10,3.183,4.0,2.870540018881465,"{9: 2, 14: 2, 6: 12, 21: 1, 7: 3, 4: 17, 11: 1, 3: 25, 5: 4, 2: 33}",-0.8581326473057517
8,barabasi_albert,100,5,2,10,3.296,4.0,2.4819347291981715,"{13: 1, 10: 2, 12: 2, 11: 1, 5: 9, 6: 8, 7: 4, 9: 2, 3: 23, 4: 14, 2: 34}",-0.8581326473057517
9,barabasi_albert,100,5,2,10,3.3428,4.0,2.328089345364563,"{10: 2, 13: 1, 8: 6, 6: 2, 3: 27, 9: 2, 7: 3, 4: 14, 2: 30, 5: 12, 11: 1}",-0.8581326473057517
10,barabasi_albert,100,5,2,10,3.2402,4.0,2.7202941017470885,"{7: 3, 8: 4, 11: 1, 13: 2, 16: 1, 10: 2, 5: 13, 9: 1, 6: 3, 3: 24, 4: 9, 2: 37}",-0.8581326473057517
11,barabasi_albert,100,5,2,10,3.2026,4.0,2.874021572639983,"{12: 2, 19: 1, 14: 1, 11: 1, 8: 5, 5: 8, 9: 1, 6: 5, 7: 2, 4: 15, 2: 38, 3: 21}",-0.8581326473057517
