graph_id,model,n_nodes,m0,m,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
28,barabasi_albert,100,5,2,100,3.3658,4.0,2.3366642891095846,"{10: 2, 14: 1, 9: 3, 8: 6, 4: 16, 6: 7, 2: 34, 5: 10, 3: 20, 7: 1}",-0.7870583029069778
29,barabasi_albert,100,5,2,100,3.3998,4.0,2.1023796041628637,"{10: 2, 7: 5, 8: 5, 11: 1, 6: 7, 5: 15, 4: 17, 3: 13, 2: 35}",-0.7870583029069778
30,barabasi_albert,100,5,2,100,3.334,4.0,2.2759613353482084,"{11: 3, 8: 2, 10: 2, 9: 2, 7: 3, 5: 12, 6: 7, 4: 15, 2: 32, 3: 22}",-0.7870583029069778
31,barabasi_albert,100,5,2,100,3.2774,4.0,2.615339366124404,"{12: 1, 15: 1, 10: 1, 14: 2, 8: 3, 6: 2, 4: 21, 7: 3, 5: 10, 3: 25, 9: 1, 2: 30}",-0.7870583029069778
32,barabasi_albert,100,5,2,100,3.4112,4.0,2.2494443758403984,"{7: 7, 9: 6, 12: 1, 5: 12, 6: 6, 4: 12, 3: 21, 10: 1, 2: 34}",-0.7870583029069778
33,barabasi_albert,100,5,2,100,3.2882,4.0,2.734958866235469,"{12: 1, 14: 1, 11: 1, 17: 1, 10: 1, 5: 10, 6: 5, 8: 4, 7: 4, 3: 19, 9: 1, 4: 13, 2: 39}",-0.7870583029069778
34,barabasi_albert,100,5,2,100,3.305,4.0,2.4657656011875906,"{8: 2, 13: 2, 12: 1, 10: 2, 6: 4, 3: 28, 7: 8, 4: 11, 9: 1, 5: 9, 2: 32}",-0.7870583029069778
35,barabasi_albert,100,5,2,100,3.2682,4.0,2.493992782667985,"{8: 4, 11: 1, 10: 3, 15: 1, 9: 2, 7: 3, 6: 7, 4: 15, 3: 19, 5: 8, 2: 37}",-0.7870583029069778
36,barabasi_albert,100,5,2,100,3.3444,4.0,2.23606797749979,"{10: 2, 7: 4, 8: 5, 9: 3, 6: 6, 11: 1, 4: 14, 5: 10, 3: 22, 2: 33}",-0.7870583029069778
37,barabasi_albert,100,5,2,100,3.4016,4.0,2.1118712081942874,"{8: 7, 7: 6, 11: 1, 10: 1, 6: 8, 5: 11, 4: 13, 3: 20, 2: 33}",-0.7870583029069778
38,barabasi_albert,100,5,2,100,3.4144,4.0,2.227105745132009,"{8: 6, 10: 2, 13: 1, 7: 4, 4: 11, 6: 4, 5: 17, 3: 21, 2: 33, 9: 1}",-0.7870583029069778
39,barabasi_albert,100,5,2,100,3.2542,4.0,2.4617067250182343,"{7: 5, 10: 1, 15: 1, 9: 3, 6: 8, 12: 1, 8: 3, 3: 17, 5: 12, 4: 10, 2: 39}",-0.7870583029069778
40,barabasi_albert,100,5,2,100,3.3816,4.0,2.3151673805580453,"{10: 2, 9: 3, 12: 2, 6: 7, 5: 10, 8: 2, 4: 17, 7: 4, 3: 19, 2: 34}",-0.7870583029069778
41,barabasi_albert,100,5,2,100,3.2674,4.0,2.5059928172283334,"{11: 3, 14: 1, 9: 2, 12: 1, 6: 8, 8: 3, 4: 16, 7: 2, 3: 21, 5: 8, 2: 35}",-0.7870583029069778
42,barabasi_albert,100,5,2,100,3.2944,4.0,2.2847319317591723,"{9: 3, 8: 5, 13: 1, 5: 9, 7: 5, 4: 13, 11: 1, 2: 33, 6: 7, 3: 23}",-0.7870583029069778
43,barabasi_albert,100,5,2,100,3.305,4.0,2.3366642891095846,"{9: 2, 7: 4, 11: 2, 14: 1, 10: 1, 6: 9, 4: 17, 8: 2, 5: 8, 2: 32, 3: 22}",-0.7870583029069778
44,barabasi_albert,100,5,2,100,3.2362,4.0,2.6343879744638983,"{13: 1, 14: 1, 7: 7, 8: 2, 9: 4, 4: 14, 11: 1, 10: 2, 3: 21, 2: 39, 6: 4, 5: 4}",-0.7870583029069778
45,barabasi_albert,100,5,2,100,3.2912,4.0,2.340939982143925,"{10: 3, 11: 1, 7: 3, 9: 2, 6: 2, 8: 5, 12: 1, 4: 23, 2: 34, 5: 9, 3: 17}",-0.7870583029069778
