graph_id,model,n_nodes,m0,m,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
1,barabasi_albert,100,5,2,0,2.8372,4.0,4.567274898667694,"{17: 1, 16: 2, 35: 1, 18: 2, 3: 27, 6: 5, 9: 1, 7: 2, 4: 11, 2: 46, 5: 2}",-0.9475081543709567
2,barabasi_albert,100,5,2,0,2.9968,4.0,3.82099463490856,"{16: 1, 20: 1, 17: 1, 13: 1, 26: 1, 9: 2, 5: 6, 6: 6, 4: 9, 2: 45, 7: 3, 3: 23, 8: 1}",-0.9475081543709567
3,barabasi_albert,100,5,2,0,2.9264,4.0,4.039801975344831,"{7: 3, 25: 1, 23: 1, 18: 1, 16: 1, 6: 4, 14: 1, 8: 1, 9: 2, 3: 17, 5: 7, 4: 8, 2: 52, 11: 1}",-0.9475081543709567
4,barabasi_albert,100,5,2,0,2.9326,4.0,4.022437072223753,"{7: 5, 20: 1, 28: 1, 12: 1, 17: 1, 14: 1, 8: 2, 2: 48, 3: 22, 5: 6, 6: 3, 16: 1, 4: 8}",-0.9475081543709567
5,barabasi_albert,100,5,2,0,2.926,4.0,4.152107898405339,"{11: 1, 25: 1, 28: 1, 17: 1, 14: 1, 4: 7, 8: 4, 5: 7, 6: 4, 3: 24, 13: 1, 2: 47, 7: 1}",-0.9475081543709567
6,barabasi_albert,100,5,2,0,2.8242,4.0,4.560701700396552,"{31: 1, 7: 3, 28: 1, 10: 1, 21: 1, 2: 51, 4: 13, 13: 2, 6: 2, 5: 8, 9: 1, 3: 16}",-0.9475081543709567
7,barabasi_albert,100,5,2,0,2.957,4.0,4.0,"{19: 1, 17: 2, 7: 3, 29: 1, 8: 3, 4: 14, 9: 2, 2: 47, 12: 1, 3: 20, 6: 3, 5: 3}",-0.9475081543709567
8,barabasi_albert,100,5,2,0,2.8992,4.0,4.127953488110059,"{22: 1, 30: 1, 17: 1, 7: 2, 18: 1, 2: 43, 8: 2, 3: 25, 9: 3, 4: 13, 5: 5, 6: 3}",-0.9475081543709567
9,barabasi_albert,100,5,2,0,2.9876,4.0,3.878143885933063,"{12: 2, 17: 1, 11: 1, 23: 1, 20: 1, 5: 10, 19: 1, 2: 50, 7: 2, 4: 9, 9: 2, 6: 1, 3: 18, 8: 1}",-0.9475081543709567
10,barabasi_albert,100,5,2,0,2.8876,4.0,4.223742416388575,"{15: 1, 21: 1, 23: 1, 14: 1, 26: 1, 13: 1, 12: 1, 6: 3, 5: 5, 8: 2, 3: 30, 9: 1, 4: 7, 2: 45}",-0.9475081543709567
11,barabasi_albert,100,5,2,0,2.8034,4.0,4.560701700396552,"{14: 2, 21: 1, 26: 1, 27: 1, 20: 1, 7: 3, 3: 19, 5: 4, 10: 1, 2: 53, 4: 11, 6: 2, 8: 1}",-0.9475081543709567
12,barabasi_albert,100,5,2,0,2.961,4.0,4.009987531152684,"{20: 1, 16: 1, 15: 1, 10: 3, 23: 1, 21: 1, 2: 55, 8: 4, 3: 14, 5: 5, 7: 2, 4: 10, 6: 2}",-0.9475081543709567
13,barabasi_albert,100,5,2,0,2.9522,4.0,3.862641583165593,"{22: 1, 13: 2, 25: 1, 9: 1, 11: 2, 16: 1, 6: 1, 7: 3, 3: 21, 2: 47, 5: 6, 10: 1, 8: 1, 4: 12}",-0.9475081543709567
14,barabasi_albert,100,5,2,0,2.8182,4.0,4.39317652729776,"{29: 1, 25: 1, 20: 1, 12: 1, 13: 1, 15: 1, 8: 2, 2: 52, 9: 3, 6: 1, 4: 13, 3: 17, 5: 6}",-0.9475081543709567
15,barabasi_albert,100,5,2,0,2.9158,4.0,4.039801975344831,"{22: 1, 23: 1, 5: 7, 24: 1, 12: 1, 10: 2, 8: 1, 3: 23, 6: 4, 7: 4, 15: 1, 2: 48, 4: 6}",-0.9475081543709567
16,barabasi_albert,100,5,2,0,2.9718,4.0,4.009987531152684,"{24: 1, 15: 1, 14: 2, 27: 1, 8: 1, 3: 19, 7: 4, 4: 12, 5: 5, 9: 1, 11: 1, 6: 4, 2: 48}",-0.9475081543709567
17,barabasi_albert,100,5,2,0,2.8978,4.0,4.188078318274385,"{7: 6, 30: 1, 16: 2, 22: 1, 11: 1, 12: 1, 10: 1, 8: 1, 5: 4, 6: 4, 2: 52, 4: 7, 3: 19}",-0.9475081543709567
18,barabasi_albert,100,5,2,0,2.981,4.0,3.7389838191679834,"{21: 1, 15: 1, 19: 1, 10: 4, 18: 1, 13: 1, 4: 12, 11: 2, 7: 1, 6: 3, 3: 18, 5: 5, 2: 50}",-0.9475081543709567
19,barabasi_albert,100,5,2,0,2.9118,4.0,4.076763422127902,"{25: 1, 16: 1, 12: 1, 11: 1, 22: 1, 4: 7, 17: 1, 5: 7, 10: 4, 8: 3, 3: 10, 2: 60, 7: 2, 6: 1}",-0.9475081543709567
20,barabasi_albert,100,5,2,0,2.8688,4.0,4.386342439892261,"{32: 1, 20: 1, 9: 1, 23: 1, 14: 1, 5: 11, 6: 6, 11: 2, 2: 54, 4: 8, 3: 13, 10: 1}",-0.9475081543709567
21,barabasi_albert,100,5,2,0,2.8452,4.0,4.43846820423443,"{28: 1, 6: 6, 12: 1, 25: 1, 17: 1, 11: 2, 3: 17, 8: 1, 22: 1, 4: 11, 5: 4, 2: 53, 9: 1}",-0.9475081543709567
22,barabasi_albert,100,5,2,0,2.9638,4.0,4.019950248448356,"{18: 1, 23: 1, 16: 1, 26: 1, 12: 1, 7: 3, 11: 1, 13: 1, 5: 9, 3: 25, 4: 12, 2: 43, 6: 1}",-0.9475081543709567
23,barabasi_albert,100,5,2,0,2.9464,4.0,3.867815921162743,"{20: 1, 17: 1, 10: 3, 21: 1, 23: 1, 4: 14, 2: 49, 5: 4, 6: 3, 3: 17, 8: 2, 9: 1, 7: 3}",-0.9475081543709567
24,barabasi_albert,100,5,2,0,2.9024,4.0,4.1036569057366385,"{16: 1, 20: 1, 22: 1, 12: 1, 28: 1, 5: 1, 8: 3, 6: 6, 9: 1, 7: 2, 3: 24, 4: 13, 2: 45}",-0.9475081543709567
25,barabasi_albert,100,5,2,0,2.9508,4.0,3.9572717874818757,"{13: 3, 9: 3, 28: 1, 24: 1, 5: 11, 4: 9, 8: 1, 7: 3, 2: 48, 6: 2, 3: 18}",-0.9475081543709567
26,barabasi_albert,100,5,2,0,2.8584,4.0,4.402272140611028,"{15: 1, 19: 2, 24: 2, 18: 1, 5: 4, 2: 52, 12: 1, 10: 1, 4: 9, 6: 3, 7: 1, 8: 1, 3: 22}",-0.9475081543709567
27,barabasi_albert,100,5,2,0,3.004,4.0,3.690528417449187,"{10: 1, 24: 1, 17: 1, 16: 1, 15: 1, 6: 4, 5: 6, 9: 2, 7: 3, 11: 1, 4: 8, 2: 49, 12: 2, 3: 20}",-0.9475081543709567
28,barabasi_albert,100,5,2,0,2.9366,4.0,3.8858718455450894,"{20: 2, 12: 2, 21: 1, 15: 1, 13: 1, 7: 3, 9: 2, 6: 4, 4: 5, 2: 54, 8: 3, 3: 19, 5: 3}",-0.9475081543709567
29,barabasi_albert,100,5,2,0,2.9242,4.0,4.125530268947253,"{19: 3, 17: 1, 23: 1, 4: 11, 13: 1, 7: 3, 2: 51, 3: 20, 15: 1, 8: 2, 6: 2, 5: 4}",-0.9475081543709567
30,barabasi_albert,100,5,2,0,2.9484,4.0,4.132795663954365,"{27: 1, 17: 1, 20: 1, 8: 2, 25: 1, 4: 13, 9: 1, 5: 7, 6: 5, 2: 42, 3: 25, 10: 1}",-0.9475081543709567
31,barabasi_albert,100,5,2,0,2.9042,4.0,4.259107887809371,"{28: 1, 23: 1, 9: 1, 21: 1, 5: 5, 4: 12, 2: 51, 17: 1, 6: 5, 12: 1, 10: 1, 8: 3, 3: 17}",-0.9475081543709567
32,barabasi_albert,100,5,2,0,2.8392,4.0,4.211887937730538,"{14: 1, 19: 3, 20: 1, 21: 1, 4: 11, 2: 50, 16: 1, 11: 1, 5: 3, 3: 23, 7: 3, 6: 2}",-0.9475081543709567
33,barabasi_albert,100,5,2,0,3.0036,4.0,3.6851051545376556,"{23: 1, 15: 1, 19: 1, 13: 1, 17: 1, 5: 7, 10: 3, 3: 27, 6: 2, 4: 11, 9: 1, 11: 1, 2: 42, 7: 1}",-0.9475081543709567
34,barabasi_albert,100,5,2,0,2.8968,4.0,3.9774363602702683,"{12: 1, 24: 1, 26: 1, 15: 1, 9: 2, 8: 2, 14: 1, 11: 2, 3: 17, 2: 49, 7: 1, 4: 14, 5: 7, 6: 1}",-0.9475081543709567
35,barabasi_albert,100,5,2,0,3.0066,4.0,3.6687872655688283,"{19: 1, 16: 2, 10: 1, 12: 2, 7: 3, 21: 1, 2: 50, 3: 23, 4: 4, 9: 3, 5: 3, 6: 5, 8: 2}",-0.9475081543709567
36,barabasi_albert,100,5,2,0,2.9492,4.0,3.8704004960727256,"{12: 1, 14: 1, 16: 2, 10: 2, 21: 1, 3: 24, 13: 1, 7: 2, 20: 1, 2: 50, 11: 1, 5: 3, 9: 2, 4: 8, 6: 1}",-0.9475081543709567
37,barabasi_albert,100,5,2,0,2.9846,4.0,3.844476557348217,"{10: 2, 21: 1, 22: 2, 15: 1, 7: 5, 3: 19, 9: 1, 4: 11, 2: 48, 11: 1, 5: 6, 6: 3}",-0.9475081543709567
