graph_id,model,n_nodes,n_edges_target,m0,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
1,barabasi_albert,100,150,5,2,3.9206,3.0,2.227105745132009,"{8: 1, 12: 2, 6: 2, 13: 1, 4: 15, 1: 24, 2: 28, 5: 9, 3: 17, 7: 1}",-0.8072982537804587
2,barabasi_albert,100,150,5,2,4.1012,3.0,2.08806130178211,"{9: 2, 6: 5, 8: 3, 10: 1, 7: 2, 3: 23, 4: 10, 1: 28, 5: 5, 2: 21}",-0.8072982537804587
3,barabasi_albert,100,150,5,2,3.8548,3.0,2.181742422927143,"{5: 7, 12: 3, 9: 1, 7: 2, 3: 24, 6: 1, 2: 27, 4: 13, 1: 22}",-0.8072982537804587
4,barabasi_albert,100,150,5,2,3.5878,3.0,2.6229754097208002,"{12: 1, 7: 3, 14: 1, 15: 1, 13: 1, 6: 2, 1: 29, 3: 20, 4: 11, 5: 6, 2: 25}",-0.8072982537804587
5,barabasi_albert,100,150,5,2,3.864,3.0,2.2494443758403984,"{6: 2, 10: 1, 11: 1, 12: 1, 1: 22, 13: 1, 4: 19, 2: 29, 3: 20, 8: 2, 5: 2}",-0.8072982537804587
6,barabasi_albert,100,150,5,2,3.8448,3.0,2.4166091947189146,"{11: 1, 15: 2, 6: 1, 8: 1, 4: 12, 7: 3, 5: 6, 2: 38, 3: 17, 1: 19}",-0.8072982537804587
7,barabasi_albert,100,150,5,2,3.958,3.0,2.420743687382041,"{9: 4, 13: 1, 5: 4, 7: 2, 14: 1, 3: 23, 1: 28, 8: 1, 2: 23, 4: 13}",-0.8072982537804587
8,barabasi_albert,100,150,5,2,4.038,3.0,2.23159136044214,"{8: 2, 9: 3, 12: 1, 11: 1, 7: 1, 4: 12, 3: 20, 2: 31, 5: 2, 6: 4, 1: 23}",-0.8072982537804587
9,barabasi_albert,100,150,5,2,3.9298,3.0,2.3664319132398464,"{12: 1, 9: 1, 13: 1, 7: 1, 15: 1, 1: 23, 3: 28, 4: 9, 6: 4, 5: 5, 2: 26}",-0.8072982537804587
10,barabasi_albert,100,150,5,2,4.0966,3.0,2.0639767440550294,"{5: 3, 8: 2, 9: 1, 10: 3, 4: 15, 6: 4, 3: 17, 7: 1, 2: 34, 1: 20}",-0.8072982537804587
