graph_id,model,n_nodes,n_edges_target,m0,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
31,barabasi_albert,100,150,5,10,4.1182,3.0,1.833030277982336,"{8: 2, 5: 5, 7: 2, 6: 2, 11: 1, 2: 34, 10: 1, 4: 13, 3: 26, 1: 14}",-0.7042621390296911
32,barabasi_albert,100,150,5,10,4.1824,3.0,1.783255450012701,"{9: 2, 5: 7, 7: 2, 6: 7, 4: 13, 2: 26, 3: 22, 1: 21}",-0.7042621390296911
33,barabasi_albert,100,150,5,10,4.111,3.0,1.8220867158288598,"{6: 7, 7: 4, 9: 1, 4: 14, 3: 21, 8: 1, 2: 26, 5: 4, 1: 22}",-0.7042621390296911
34,barabasi_albert,100,150,5,10,4.1854,3.0,1.9544820285692064,"{6: 5, 8: 2, 7: 5, 5: 9, 3: 18, 9: 1, 2: 27, 4: 8, 1: 25}",-0.7042621390296911
35,barabasi_albert,100,150,5,10,4.0416,3.0,2.073644135332772,"{4: 12, 5: 4, 11: 2, 9: 3, 6: 2, 8: 1, 7: 1, 2: 31, 3: 25, 1: 19}",-0.7042621390296911
36,barabasi_albert,100,150,5,10,4.2204,3.0,1.70293863659264,"{4: 13, 8: 1, 5: 11, 6: 2, 9: 1, 3: 26, 7: 3, 1: 21, 2: 22}",-0.7042621390296911
37,barabasi_albert,100,150,5,10,4.1086,3.0,1.8814887722226779,"{5: 8, 8: 2, 6: 7, 4: 8, 3: 22, 9: 2, 2: 29, 1: 21, 7: 1}",-0.7042621390296911
38,barabasi_albert,100,150,5,10,4.3386,3.0,1.5231546211727816,"{5: 7, 6: 4, 7: 4, 3: 26, 2: 28, 4: 16, 1: 15}",-0.7042621390296911
39,barabasi_albert,100,150,5,10,4.1758,3.0,1.7888543819998317,"{6: 4, 7: 3, 5: 10, 4: 8, 8: 1, 11: 1, 3: 25, 2: 31, 1: 17}",-0.7042621390296911
40,barabasi_albert,100,150,5,10,4.0018,3.0,2.009975124224178,"{8: 2, 5: 9, 13: 1, 9: 2, 4: 11, 2: 26, 3: 26, 6: 1, 1: 21, 7: 1}",-0.7042621390296911
41,barabasi_albert,100,150,5,10,4.1534,3.0,1.7320508075688772,"{4: 13, 8: 1, 7: 4, 6: 8, 5: 5, 1: 19, 3: 20, 2: 30}",-0.7042621390296911
42,barabasi_albert,100,150,5,10,4.1498,3.0,1.8055470085267789,"{8: 2, 5: 13, 6: 4, 9: 1, 7: 2, 2: 25, 3: 24, 4: 7, 1: 22}",-0.7042621390296911
43,barabasi_albert,100,150,5,10,4.4936,3.0,1.6673332000533065,"{6: 5, 7: 2, 4: 12, 9: 2, 5: 7, 2: 33, 3: 25, 1: 14}",-0.7042621390296911
44,barabasi_albert,100,150,5,10,4.1574,3.0,1.8055470085267789,"{6: 6, 7: 2, 5: 6, 8: 2, 9: 1, 4: 15, 3: 22, 1: 23, 2: 23}",-0.7042621390296911
45,barabasi_albert,100,150,5,10,4.1344,3.0,1.794435844492636,"{6: 5, 7: 2, 5: 5, 11: 1, 4: 13, 2: 30, 3: 25, 8: 2, 1: 17}",-0.7042621390296911
46,barabasi_albert,100,150,5,10,4.2556,3.0,1.7262676501632068,"{7: 4, 6: 3, 8: 2, 4: 14, 5: 9, 3: 21, 2: 27, 1: 20}",-0.7042621390296911
47,barabasi_albert,100,150,5,10,4.186,3.0,1.783255450012701,"{5: 7, 4: 17, 9: 1, 7: 4, 6: 4, 8: 1, 2: 28, 3: 17, 1: 21}",-0.7042621390296911
48,barabasi_albert,100,150,5,10,4.3268,3.0,1.5811388300841898,"{5: 7, 6: 6, 4: 17, 8: 1, 3: 23, 2: 30, 9: 1, 1: 15}",-0.7042621390296911
49,barabasi_albert,100,150,5,10,4.2776,3.0,1.783255450012701,"{4: 12, 8: 2, 7: 4, 10: 1, 6: 2, 2: 25, 3: 29, 1: 19, 5: 6}",-0.7042621390296911
50,barabasi_albert,100,150,5,10,4.1422,3.0,1.6613247725836149,"{8: 3, 5: 16, 7: 1, 6: 1, 4: 11, 3: 21, 2: 29, 1: 18}",-0.7042621390296911
51,barabasi_albert,100,150,5,10,4.3298,3.0,1.5362291495737217,"{6: 6, 5: 10, 9: 1, 3: 25, 4: 15, 2: 27, 1: 16}",-0.7042621390296911
52,barabasi_albert,100,150,5,10,4.1562,3.0,1.876166303929372,"{5: 9, 8: 4, 7: 5, 4: 10, 3: 23, 1: 23, 2: 25, 6: 1}",-0.7042621390296911
53,barabasi_albert,100,150,5,10,4.2532,3.0,1.772004514666935,"{5: 10, 7: 5, 11: 1, 6: 3, 2: 38, 3: 20, 4: 9, 1: 14}",-0.7042621390296911
